timestamp,obj,pos_x,pos_y,pos_z,orien_w,orien_x,orien_y,orien_z,linear_acc_x,linear_acc_y,linear_acc_z,linear_vel_x,linear_vel_y,linear_vel_z,angular_acc_x,angular_acc_y,angular_acc_z,angular_vel_x,angular_vel_y,angular_vel_z
"1,62508708356293E+018",uav1,-0.18742539,-7.9663485e-05,-1.9987202,-0.0013518763,6.0216275e-06,0.999987,-0.004918059,0.025874056,9.974422e-06,0.27811337,0.18079126,7.6806435e-05,0.018598452,0.000279348,0.008498867,4.0941603e-07,-0.00010685203,-0.011323507,5.5569203e-08
"1,62508708356293E+018",simulation_car1,47.970207,20.903307,8.409741,0.0017509451,0.0012272396,-0.7008516,0.71330386,,,,,,,,,,,,
"1,62508708356293E+018",simulation_car2,-2.2551136,3.0751352,8.4097395,0.0016765072,0.0013328282,-0.7047712,0.70943135,,,,,,,,,,,,
"1,62508708356293E+018",simulation_pedestrian1,8.557941,36.910458,7.4372497,-0.0,0.0,0.020451652,0.99979085,,,,,,,,,,,,
"1,62508708356293E+018",simulation_pedestrian2,3.9967146,35.378204,7.4372497,0.0,-0.0,-0.8406046,0.5416493,,,,,,,,,,,,
"1,62508708356293E+018",simulation_pedestrian3,30.836811,36.616077,7.4372497,0.0,-0.0,-0.98075473,0.19524378,,,,,,,,,,,,
"1,62508708356293E+018",simulation_pedestrian4,28.83213,37.371635,7.4372497,0.0,-0.0,-0.042174105,0.9991103,,,,,,,,,,,,
"1,62508708356293E+018",simulation_pedestrian5,37.95106,31.390944,7.4372497,-0.0,0.0,0.7135733,0.7005806,,,,,,,,,,,,
"1,62508708356293E+018",simulation_pedestrian6,16.267284,36.905357,7.4372497,0.0,-0.0,-0.0015739274,0.99999875,,,,,,,,,,,,
"1,62508708356293E+018",simulation_pedestrian7,38.351566,8.7359085,7.4372497,0.0,-0.0,-0.9516379,0.30722177,,,,,,,,,,,,
"1,62508708356293E+018",simulation_pedestrian8,38.242897,-0.9396725,7.4372497,-0.0,0.0,0.73604506,0.6769325,,,,,,,,,,,,
"1,62508708356293E+018",simulation_pedestrian9,38.112717,-9.205871,7.4372497,0.0,-0.0,-0.7266664,0.6869905,,,,,,,,,,,,
"1,62508708356293E+018",simulation_pedestrian10,39.073414,7.877722,7.4372497,0.0,-0.0,-0.80979025,0.5867195,,,,,,,,,,,,
"1,62508708356293E+018",simulation_pedestrian11,35.3529,-16.615875,7.4372497,0.0,-0.0,-0.94861203,0.31644142,,,,,,,,,,,,
"1,62508708356293E+018",simulation_pedestrian12,22.06401,-18.118769,7.4349113,-0.0,0.0,0.99999744,0.0022423267,,,,,,,,,,,,
"1,62508708356293E+018",simulation_pedestrian13,4.1931787,-16.588678,7.4372497,-0.0,0.0,0.95099056,0.30921996,,,,,,,,,,,,
"1,62508708356293E+018",simulation_pedestrian14,31.875105,-28.696991,7.4372497,0.0,-0.0,-0.99929714,0.037486434,,,,,,,,,,,,
"1,62508708356293E+018",simulation_pedestrian15,3.1838672,-16.319672,7.4372497,-0.0,0.0,0.92814326,0.3722232,,,,,,,,,,,,
"1,62508708356293E+018",simulation_pedestrian16,11.558214,-17.864717,7.4372497,-0.0,0.0,0.00555317,0.99998456,,,,,,,,,,,,
"1,62508708356293E+018",simulation_pedestrian17,27.669064,-17.55679,7.4372497,-0.0,0.0,0.0049561225,0.9999877,,,,,,,,,,,,
"1,62508708356293E+018",simulation_pedestrian18,2.728486,29.925472,7.4372497,-0.0,0.0,0.7336597,0.67951715,,,,,,,,,,,,
"1,62508708356293E+018",simulation_pedestrian19,2.7042272,21.851406,7.4372497,-0.0,0.0,0.91305983,0.4078256,,,,,,,,,,,,
"1,62508708356293E+018",simulation_pedestrian20,2.1470678,-13.608906,7.4372497,0.0,-0.0,-0.885945,0.46379024,,,,,,,,,,,,
"1,62508708356293E+018",simulation_pedestrian21,2.2988067,5.4326954,7.4372497,-0.0,0.0,0.7133427,0.7008154,,,,,,,,,,,,
"1,62508708356293E+018",simulation_pedestrian22,2.4441116,33.686016,7.4372497,-0.0,0.0,0.73060435,0.682801,,,,,,,,,,,,
"1,62508708356293E+018",simulation_pedestrian23,26.4589,37.643894,7.43725,0.0,-0.0,-0.9838476,0.17900836,,,,,,,,,,,,
"1,62508708356293E+018",simulation_pedestrian24,34.813984,-29.094309,7.4372497,-0.0,0.0,0.99321616,0.116282046,,,,,,,,,,,,
"1,62508708356293E+018",simulation_pedestrian25,18.56242,-28.942719,7.4372497,-0.0,0.0,0.017732931,0.99984276,,,,,,,,,,,,
"1,62508708356293E+018",simulation_pedestrian26,-12.0702305,26.149313,7.4372497,0.0,-0.0,-0.7022656,0.7119151,,,,,,,,,,,,
"1,62508708356293E+018",simulation_pedestrian27,-11.752275,23.560349,7.4372497,-0.0,0.0,0.76830924,0.6400788,,,,,,,,,,,,
